Timestamps(ms),AccelX,AccelY,AccelZ
6709,-0.4022,1.1109,10.8816
6719,-0.3735,1.2977,10.9247
6729,-0.3424,1.0774,10.9271
6806,-0.3567,1.1684,10.9415
6816,-0.3328,1.1899,11.0253
6826,-0.4166,1.2186,10.8505
6836,-0.3448,1.2067,11.0780
6846,-0.4046,1.2043,10.9200
6856,-0.3855,1.1899,10.8146
6866,-0.2993,1.0463,11.0540
6944,-0.3711,1.1875,11.0205
6954,-0.3280,1.1349,10.8793
6964,-0.3759,1.1756,11.0205
6974,-0.4190,1.1851,10.9343
6984,-0.3926,1.2067,10.9774
6994,-0.3591,1.1684,10.9487
7004,-0.3639,1.1756,11.0181
7081,-0.3567,1.1875,11.2288
7091,-0.4334,1.2115,10.9894
7101,-0.4118,1.2163,10.8457
7111,-0.4597,1.2210,10.8625
7121,-0.3591,1.0942,10.9774
7131,-0.4190,1.2617,10.8338
7141,-0.3089,1.1372,11.0181
7214,-0.3280,1.1492,11.0540
7224,-0.3615,1.2881,10.8721
7234,-0.3903,1.2402,11.0397
7244,-0.3974,1.1229,10.9295
7254,-0.3759,1.2186,10.8840
7264,-0.3615,1.1923,11.0253
7274,-0.4070,1.2426,10.9056
7351,-0.3089,1.0487,11.0014
7361,-0.4573,1.2234,10.9918
7371,-0.2921,1.0822,11.0756
7381,-0.3903,1.3240,10.8601
7391,-0.3807,1.1349,10.9966
7401,-0.3639,1.0774,11.1498
7411,-0.3448,1.1947,10.7978
7488,-0.4238,1.0942,11.1953
7498,-0.3735,1.1516,10.9128
7508,-0.3543,1.1444,10.8122
7518,-0.2849,1.1109,11.0756
7528,-0.3783,1.2402,10.7763
7538,-0.3543,1.1301,11.1570
7548,-0.3136,1.1444,11.0061
7558,-0.4238,1.2474,10.8170
7634,-0.2634,0.9529,11.2527
7644,-0.3735,1.0774,11.1642
7654,-0.2442,1.3096,10.7811
7664,-0.4142,1.0511,11.2480
7674,-0.4597,1.3216,10.8026
7684,-0.4501,1.1779,10.8625
7694,-0.2634,0.9888,11.1139
7771,-0.4214,1.1564,11.0708
7781,-0.3639,1.2258,10.9367
7791,-0.3879,1.1756,11.0229
7801,-0.4214,1.1732,10.9966
7811,-0.3711,1.2019,10.9415
7821,-0.3112,1.2139,10.9343
7831,-0.3735,1.1947,10.9870
7908,-0.3974,1.1588,10.8960
7918,-0.3974,1.1971,10.9487
7928,-0.3591,1.1660,10.8960
7938,-0.3831,1.2186,10.9678
7948,-0.3639,1.1492,11.0780
7958,-0.3783,1.1875,10.9295
7968,-0.3639,1.1301,11.0133
8048,-0.3400,1.1756,10.8840
8058,-0.3687,1.2019,10.9247
8068,-0.3926,1.2091,10.8840
8078,-0.3807,1.2019,10.9870
8088,-0.3328,1.2019,10.9630
8098,-0.3687,1.2139,10.9678
8108,-0.3639,1.1947,10.9990
8186,-0.2993,0.6560,12.1434
8196,-0.3879,1.2977,11.2360
8206,-0.4717,1.5921,10.0173
8216,-0.2322,0.8164,11.9423
8226,-0.4812,1.5395,9.9144
8236,-0.4070,1.2067,11.0325
8246,-0.2897,1.0080,11.3772
8324,-0.3208,1.1779,10.9319
8334,-0.4429,1.2019,11.0995
8344,-0.4142,1.1516,11.0923
8354,-0.3663,1.2019,10.9918
8364,-0.4070,1.2665,10.9894
8374,-0.3448,1.1564,11.0852
8384,-0.3615,1.2186,10.8242
8465,-0.3328,1.2019,10.9990
8475,-0.3687,1.1612,10.9439
8485,-0.3328,1.2043,10.9104
8495,-0.3735,1.1372,10.9798
8505,-0.3328,1.2306,11.0061
8515,-0.3519,1.2378,10.8960
8525,-0.3184,1.2498,10.9535
8603,-0.3472,1.1109,10.9702
8613,-0.3711,1.1947,10.9726
8623,-0.3280,1.1732,10.9056
8633,-0.3591,1.1971,11.0038
8643,-0.3232,1.1492,10.9367
8653,-0.3591,1.1756,10.9918
8663,-0.3950,1.1875,11.0109
8744,-0.3663,1.2594,10.9152
8754,-0.4525,1.2067,10.9583
8764,-0.3376,1.2067,10.9343
8774,-0.3783,1.1301,11.0301
8784,-0.3065,1.1899,10.9176
8794,-0.4094,1.1803,10.9223
8804,-0.3519,1.1756,10.8984
8870,-0.3567,1.2115,10.9630
8880,-0.3998,1.1923,10.9439
8890,-0.3687,1.1732,10.9846
8900,-0.3926,1.2163,10.9798
8910,-0.3759,1.1971,11.0995
8920,-0.3089,1.2019,10.9990
8930,-0.3376,1.1708,10.9367
9010,-0.3448,1.2139,11.0157
9020,-0.3112,1.2282,10.9367
9030,-0.4022,1.1684,10.9511
9040,-0.3903,1.2067,10.9774
9050,-0.3232,1.1588,10.8864
9060,-0.3903,1.2402,10.9678
9070,-0.4070,1.2330,10.9678
9080,-0.4046,1.2570,10.8912
9160,-0.3065,1.1588,10.8960
9170,-0.3615,1.1660,10.9966
9180,-0.3759,1.1708,10.9319
9190,-0.3496,1.1779,10.8721
9200,-0.3950,1.2186,10.9463
9210,-0.4142,1.1540,10.9726
9220,-0.3400,1.1253,10.8793
9297,-0.3496,1.2522,10.9942
9307,-0.2873,1.1588,10.9223
9317,-0.3639,1.1995,10.9678
9327,-0.3687,1.1492,10.9200
9337,-0.3903,1.1444,10.9223
9347,-0.3711,1.1899,10.9630
9357,-0.4357,1.2330,11.0157
9430,-0.2658,1.2067,11.0205
9440,-0.3472,1.2115,10.8481
9450,-0.3496,1.1636,10.9080
9460,-0.4142,1.1899,10.9104
9470,-0.4142,1.1468,10.9798
9480,-0.3998,1.1875,10.9726
9490,-0.3735,1.1827,10.9439
9564,-0.3998,1.1732,10.9367
9574,-0.3783,1.1875,10.9678
9584,-0.3424,1.1803,10.9104
9594,-0.2849,1.2043,10.9726
9604,-0.3615,1.2043,11.0109
9614,-0.3759,1.2019,10.9702
9624,-0.3687,1.2306,11.0349
9698,-0.3783,1.2474,10.9271
9708,-0.3855,1.2450,10.9008
9718,-0.3926,1.1660,10.9846
9728,-0.3519,1.1732,11.0157
9738,-0.4166,1.1732,10.9798
9748,-0.3232,1.1061,10.8601
9758,-0.3687,1.1827,10.9487
9836,-0.3855,1.1971,10.9870
9846,-0.3639,1.1779,10.9247
9856,-0.3687,1.2546,10.9583
9866,-0.4070,1.1516,11.0301
9876,-0.3687,1.2234,10.9798
9886,-0.3639,1.1779,10.9559
9896,-0.2945,1.1827,10.8673
9968,-0.4214,1.1468,10.9152
9978,-0.3424,1.2474,10.9080
9988,-0.3663,1.1708,10.9271
9998,-0.3663,1.1085,10.9702
10008,-0.3926,1.1301,10.9080
10018,-0.3879,1.1109,10.9846
10028,-0.3663,1.1205,10.9200
10105,-0.3472,1.2378,10.8960
10115,-0.4070,1.1660,10.8888
10125,-0.3998,1.1420,10.9223
10135,-0.4238,1.1923,11.0109
10145,-0.3687,1.1779,10.9415
10155,-0.3711,1.2163,11.0923
10165,-0.3472,1.2570,10.9894
10242,-0.3855,1.2139,10.9583
10252,-0.3807,1.1109,11.0038
10262,-0.3615,1.2330,10.8649
10272,-0.3807,1.1899,10.9487
10282,-0.3783,1.2522,11.0014
10292,-0.3519,1.1396,10.9990
10302,-0.3472,1.1564,10.9271
10385,-0.3735,1.1779,10.9200
10395,-0.4070,1.2139,10.8601
10405,-0.3926,1.1947,10.9319
10415,-0.3807,1.2139,10.9367
10425,-0.3519,1.2378,10.8936
10435,-0.3519,1.1827,10.9271
10445,-0.3974,1.1971,10.9942
10526,-0.3208,1.1803,10.8984
10536,-0.3280,1.2186,10.9511
10546,-0.3304,1.1636,10.9152
10556,-0.3735,1.1779,11.0061
10566,-0.3831,1.1708,10.9870
10576,-0.3974,1.1660,10.9247
10586,-0.3735,1.1827,10.9607
10596,-0.3615,1.2139,10.9487
10676,-0.4166,1.2019,10.9846
10686,-0.4022,1.1516,10.9678
10696,-0.3807,1.1971,10.9415
10706,-0.4405,1.1803,10.9630
10716,-0.3615,1.2163,10.9080
10726,-0.3352,1.2067,10.9607
10736,-0.3519,1.2139,10.9726
10814,-0.3448,1.2043,11.0229
10824,-0.3543,1.2043,10.9367
10834,-0.3591,1.1779,10.9463
10844,-0.3496,1.1875,10.9750
10854,-0.3950,1.2354,10.9319
10864,-0.3903,1.2378,10.9535
10874,-0.2418,1.0271,10.8649
10952,-0.3926,1.2067,10.8266
10962,-0.3639,1.2091,10.9607
10972,-0.4405,1.2186,10.9056
10982,-0.3663,1.2210,11.0349
10992,-0.3424,1.1468,10.8960
11002,-0.3591,1.1827,11.0899
11012,-0.3783,1.2019,10.9487
11078,-0.3998,1.1756,10.8673
11088,-0.3208,1.1301,10.9918
11098,-0.3496,1.1875,10.8936
11108,-0.4046,1.2163,11.0014
11118,-0.4286,1.1851,10.9415
11128,-0.3376,1.2210,10.9319
11138,-0.3998,1.1779,10.9439
11216,-0.3496,1.1372,10.9559
11226,-0.3855,1.2186,10.9990
11236,-0.4238,1.1708,10.9750
11246,-0.4118,1.2258,10.9750
11256,-0.3639,1.1756,11.0828
11266,-0.3136,1.1732,10.9774
11276,-0.4070,1.1181,11.0516
11356,-0.3759,1.1756,11.0109
11366,-0.3759,1.1732,10.9080
11376,-0.3687,1.1732,10.9271
11386,-0.4118,1.1971,10.9104
11396,-0.3735,1.1851,10.9463
11406,-0.4022,1.1636,10.9535
11416,-0.3926,1.1588,10.9487
11495,-0.3879,1.1923,10.9942
11505,-0.3543,1.1349,11.0373
11515,-0.3567,1.2258,11.0229
11525,-0.4070,1.1875,10.9271
11535,-0.4238,1.1612,10.9367
11545,-0.3472,1.2139,10.9654
11555,-0.3639,1.2330,10.9894
11628,-0.2993,1.1875,10.9559
11638,-0.3519,1.1684,10.9535
11648,-0.3567,1.1588,11.0445
11658,-0.4070,1.1732,10.9439
11668,-0.3591,1.1827,10.9702
11678,-0.4094,1.1756,10.9726
11688,-0.3903,1.2474,10.8386
11762,-0.3711,1.2306,10.9535
11772,-0.3280,1.2091,10.9750
11782,-0.4046,1.1349,10.9200
11792,-0.4453,1.1827,10.8936
11802,-0.3807,1.2258,10.9271
11812,-0.3112,1.2282,10.9966
11822,-0.3232,1.1756,10.9918
11899,-0.4022,1.2210,10.9247
11909,-0.4118,1.1684,10.9678
11919,-0.3615,1.2019,10.9128
11929,-0.3639,1.2522,10.9678
11939,-0.3424,1.2210,10.9894
11949,-0.3160,1.2067,11.0157
11959,-0.3280,1.1756,10.8984
12034,-0.3567,1.1372,11.0085
12044,-0.3591,1.1827,10.9032
12054,-0.4022,1.1492,11.0421
12064,-0.3567,1.2043,10.9152
12074,-0.3615,1.1732,11.0373
12084,-0.3567,1.1396,10.9247
12094,-0.4381,1.1684,10.8864
12171,-0.3591,1.1851,10.9654
12181,-0.3879,1.2091,10.9678
12191,-0.3232,1.1756,10.9080
12201,-0.3879,1.1732,10.9750
12211,-0.3496,1.1851,10.9942
12221,-0.3400,1.1923,10.9295
12231,-0.3543,1.1875,10.9080
12309,-0.3328,1.1420,10.9870
12319,-0.3879,1.1947,10.9942
12329,-0.3879,1.1612,11.0061
12339,-0.3112,1.2115,11.0349
12349,-0.3807,1.1205,10.9990
12359,-0.3543,1.2067,11.0038
12369,-0.3472,1.1875,10.9152
12379,-0.4022,1.1564,10.9774
12453,-0.3496,1.1492,10.9152
12463,-0.3496,1.1875,10.9726
12473,-0.3352,1.1971,10.9870
12483,-0.3041,1.1684,10.9654
12493,-0.4118,1.2210,10.9535
12503,-0.3663,1.1851,10.9942
12513,-0.3759,1.1396,10.9630
12594,-0.3735,1.1827,10.9487
12604,-0.3591,1.1851,11.0253
12614,-0.3352,1.1061,10.9870
12624,-0.3879,1.2091,10.8433
12634,-0.3783,1.1923,10.8721
12644,-0.3519,1.2019,10.9535
12654,-0.3496,1.2282,11.0421
12732,-0.3950,1.2091,11.0109
12742,-0.3591,1.2210,11.0038
12752,-0.3831,1.2067,10.8649
12762,-0.3424,1.1827,10.9295
12772,-0.3711,1.1971,10.9630
12782,-0.3783,1.1372,10.8553
12792,-0.3855,1.2210,10.9511
12870,-0.3831,1.1492,10.9654
12880,-0.3879,1.1540,10.9223
12890,-0.4238,1.1564,10.8912
12900,-0.3256,1.2019,10.9415
12910,-0.3543,1.1875,10.9559
12920,-0.3232,1.1899,10.9223
12930,-0.3472,1.1181,11.0612
13005,-0.3352,1.1564,10.9678
13015,-0.3424,1.2163,10.8457
13025,-0.3304,1.1851,10.9535
13035,-0.3759,1.1684,10.9367
13045,-0.3472,1.1732,10.9439
13055,-0.4357,1.1396,10.9319
13065,-0.3376,1.1827,10.9080
13145,-0.3256,1.2115,10.9463
13155,-0.3496,1.1564,10.9894
13165,-0.3807,1.1875,10.9511
